0,4.7 %
1,4.7 %
2,4.7 %
3,4.7 %
4,4.7 %
5,4.7 %
6,5.0 %
7,5.0 %
8,5.0 %
9,6.6 %
10,6.6 %
11,6.6 %
12,7.2 %
13,7.2 %
14,7.2 %
15,4.7 %
16,4.7 %
17,4.7 %
18,4.6 %
19,4.6 %
20,4.6 %
21,4.7 %
22,4.7 %
23,4.7 %
24,6.8 %
25,6.8 %
26,6.8 %
27,4.7 %
28,4.7 %
29,4.7 %
30,4.8 %
31,4.8 %
32,4.8 %
33,4.6 %
34,4.6 %
35,4.6 %
36,4.7 %
37,4.7 %
38,4.7 %
39,0.0 %
40,0.0 %
41,0.0 %
42,3.4 %
43,3.4 %
44,3.4 %
45,3.4 %
46,4.7 %
47,4.7 %
48,4.7 %
49,7.7 %
50,7.7 %
51,7.7 %
52,4.7 %
53,4.7 %
54,4.7 %
55,4.7 %
56,4.7 %
57,4.7 %
58,4.7 %
59,5.5 %
60,5.5 %
61,5.5 %
62,-0.1 %
63,-0.1 %
64,-0.1 %
65,4.7 %
66,4.7 %
67,4.7 %
68,4.7 %
69,4.7 %
70,4.7 %
71,6.5 %
72,6.5 %
73,6.5 %
74,6.3 %
75,6.3 %
76,6.3 %
77,6.3 %
78,4.7 %
79,4.7 %
80,4.7 %
81,4.7 %
82,4.7 %
83,4.7 %
84,4.7 %
85,4.7 %
86,4.7 %
87,6.7 %
88,6.7 %
89,6.7 %
90,7.1 %
91,7.1 %
92,7.1 %
93,4.7 %
94,4.7 %
95,4.7 %
96,5.1 %
97,5.1 %
98,5.1 %
99,4.7 %
100,4.7 %
101,4.7 %
102,0.6 %
103,0.6 %
104,0.6 %
105,6.6 %
106,6.6 %
107,6.6 %
108,4.7 %
109,4.7 %
110,4.7 %
111,4.7 %
112,5.2 %
113,5.2 %
114,5.2 %
115,6.6 %
116,6.6 %
117,6.6 %
118,4.7 %
119,4.7 %
120,4.7 %
121,4.7 %
122,4.7 %
123,4.7 %
124,0.0 %
125,0.0 %
126,0.0 %
127,4.7 %
128,4.7 %
129,4.7 %
130,6.4 %
131,6.4 %
132,6.4 %
133,5.2 %
134,5.2 %
135,5.2 %
136,5.8 %
137,5.8 %
138,5.8 %
139,4.6 %
140,4.6 %
141,4.6 %
142,4.7 %
143,4.7 %
144,4.7 %
145,4.7 %
146,6.3 %
147,6.3 %
148,6.3 %
149,4.7 %
150,4.7 %
151,4.7 %
152,4.7 %
153,4.7 %
154,4.7 %
155,4.7 %
156,4.7 %
157,4.7 %
158,4.7 %
159,4.7 %
160,4.7 %
161,5.7 %
162,5.7 %
163,5.7 %
164,5.7 %
165,5.7 %
166,5.7 %
167,5.7 %
168,5.7 %
169,5.7 %
170,4.7 %
171,4.7 %
172,4.7 %
173,5.0 %
174,5.0 %
175,5.0 %
176,5.5 %
177,5.5 %
178,5.5 %
179,5.0 %
180,5.0 %
181,5.0 %
182,7.1 %
183,7.1 %
184,7.1 %
185,4.7 %
186,4.7 %
187,4.7 %
188,4.7 %
189,4.7 %
190,4.7 %
191,5.3 %
192,5.3 %
193,5.3 %
194,4.7 %
195,4.7 %
196,4.7 %
197,4.7 %
198,4.7 %
199,4.7 %
200,4.7 %
201,4.7 %
202,4.7 %
203,4.7 %
204,4.7 %
205,4.7 %
206,5.9 %
207,5.9 %
208,5.9 %
209,4.7 %
210,10.9 %
211,11.5 %
212,11.5 %
213,7.4 %
214,7.4 %
215,5.0 %
216,5.0 %
217,5.0 %
218,6.1 %
219,6.1 %
220,6.1 %
221,7.2 %
222,7.2 %
223,7.2 %
224,7.8 %
225,7.8 %
226,7.8 %
227,6.9 %
228,6.9 %
229,6.9 %
230,4.7 %
231,4.7 %
232,4.7 %
233,4.7 %
234,4.7 %
235,4.7 %
236,6.6 %
237,6.6 %
238,6.6 %
239,5.1 %
240,5.1 %
241,5.1 %
242,4.9 %
243,4.9 %
244,4.9 %
245,5.9 %
246,5.9 %
247,5.9 %
248,9.3 %
249,9.3 %
250,9.3 %
251,5.6 %
252,5.6 %
253,5.6 %
254,5.1 %
255,5.1 %
256,5.1 %
257,4.3 %
258,4.3 %
259,4.3 %
260,4.7 %
261,4.7 %
262,4.7 %
263,7.4 %
264,7.4 %
265,7.4 %
266,5.7 %
267,5.7 %
268,5.7 %
269,5.8 %
270,5.8 %
271,5.8 %
272,5.1 %
273,5.1 %
274,5.1 %
275,4.8 %
276,4.8 %
277,4.8 %
278,6.2 %
279,6.2 %
280,6.2 %
281,5.3 %
282,5.3 %
283,5.3 %
284,5.1 %
285,5.1 %
286,5.1 %
287,5.1 %
288,5.1 %
289,5.1 %
290,4.7 %
291,4.7 %
292,4.7 %
293,3.7 %
294,3.7 %
295,3.7 %
296,3.7 %
297,5.8 %
298,5.8 %
299,5.8 %
300,5.9 %
301,5.9 %
302,5.9 %
303,5.1 %
304,5.1 %
305,5.1 %
306,5.0 %
307,5.0 %
308,5.0 %
309,8.6 %
310,8.6 %
311,6.4 %
312,6.4 %
313,7.3 %
314,7.3 %
315,7.3 %
316,5.9 %
317,5.9 %
318,4.7 %
319,4.7 %
320,5.2 %
321,5.2 %
322,5.2 %
323,6.0 %
324,6.0 %
325,8.3 %
326,8.3 %
327,7.0 %
328,7.0 %
329,6.6 %
330,6.6 %
331,6.9 %
332,6.9 %
333,4.7 %
334,4.7 %
335,6.2 %
336,6.2 %
337,0.6 %
338,0.6 %
339,7.8 %
340,7.8 %
341,4.7 %
342,4.7 %
343,4.7 %
344,4.7 %
345,4.7 %
346,4.7 %
347,4.7 %
348,7.0 %
349,7.0 %
350,6.3 %
351,6.3 %
352,6.4 %
353,6.4 %
354,7.3 %
355,7.3 %
356,6.8 %
357,6.8 %
358,4.7 %
359,4.7 %
360,4.7 %
361,4.7 %
362,4.7 %
363,4.7 %
364,7.0 %
365,7.0 %
366,4.7 %
367,4.7 %
368,7.0 %
369,7.0 %
370,7.2 %
371,7.2 %
372,6.2 %
373,6.2 %
374,4.7 %
375,4.7 %
376,4.7 %
377,4.7 %
378,8.2 %
379,8.2 %
380,7.5 %
381,7.5 %
382,7.4 %
383,7.4 %
384,6.0 %
385,6.0 %
386,7.0 %
387,7.0 %
388,4.7 %
389,4.7 %
390,0.0 %
391,0.0 %
392,-75.8 %
393,-75.8 %
394,6.6 %
395,6.6 %
396,6.5 %
397,6.5 %
398,6.7 %
399,6.7 %
400,-75.8 %
401,-75.8 %
402,4.7 %
403,4.7 %
404,7.9 %
405,7.9 %
406,5.6 %
407,5.6 %
408,7.1 %
409,7.1 %
410,7.4 %
411,7.4 %
412,7.3 %
413,7.3 %
414,0.6 %
415,0.6 %
416,4.7 %
417,4.7 %
418,4.7 %
419,7.7 %
420,7.7 %
421,7.4 %
422,7.4 %
423,7.8 %
424,7.8 %
425,6.6 %
426,6.6 %
427,5.9 %
428,5.9 %
429,4.7 %
430,4.7 %
431,8.1 %
432,8.1 %
433,7.7 %
434,7.7 %
435,6.6 %
436,6.6 %
437,4.7 %
438,4.7 %
439,7.5 %
440,7.5 %
441,4.7 %
442,4.7 %
443,7.7 %
444,7.7 %
445,7.2 %
446,7.2 %
447,4.7 %
448,4.7 %
449,6.4 %
450,6.4 %
451,6.4 %
452,5.8 %
453,5.8 %
454,6.5 %
455,6.5 %
456,4.7 %
457,4.7 %
458,4.7 %
459,4.7 %
460,7.4 %
461,7.4 %
462,4.7 %
463,4.7 %
464,6.9 %
465,6.9 %
466,4.7 %
467,4.7 %
468,6.6 %
469,6.6 %
470,7.2 %
471,7.2 %
472,7.2 %
473,6.7 %
474,6.7 %
475,6.7 %
476,7.0 %
477,7.0 %
478,6.1 %
479,6.1 %
480,6.0 %
481,6.0 %
482,4.7 %
483,4.7 %
484,4.7 %
485,4.7 %
486,6.9 %
487,6.9 %
488,7.8 %
489,7.8 %
490,4.7 %
491,4.7 %
492,7.0 %
493,7.0 %
494,7.0 %
495,7.0 %
496,4.7 %
497,4.7 %
498,7.1 %
499,7.1 %
500,7.5 %
501,7.5 %
502,4.8 %
503,4.8 %
504,6.9 %
505,6.9 %
506,4.7 %
507,4.7 %
508,7.4 %
509,7.4 %
510,4.7 %
511,4.7 %
512,5.1 %
513,5.1 %
514,7.0 %
515,7.0 %
516,0.0 %
517,0.0 %
518,4.7 %
519,4.7 %
520,8.1 %
521,8.1 %
